opcode,obf,real,dir,declared_len,field_idx,field_name,type,bytes,note
3214,as_0,TargetIsYourselfMessage,S2C,,,(no fields / empty),,,
3216,avs,OperationNotPermitedMessage,S2C,,,(no fields / empty),,,
4000,tg_1,,S2C,,0,,i32,4,
4001,tc_2,,S2C,,0,,i8,1,"contains loop/collection - variable-length, verify source"
4001,tc_2,,S2C,,1,,i8,1,"contains loop/collection - variable-length, verify source"
4001,tc_2,,S2C,,2,,i32,4,"contains loop/collection - variable-length, verify source"
4096,xe_2,ActorSpawnMessage,S2C,1 (min),0,,i32,4,"contains loop/collection - variable-length, verify source"
4096,xe_2,ActorSpawnMessage,S2C,1 (min),1,,i8,1,"contains loop/collection - variable-length, verify source"
4098,th_1,ActorDespawnMessage,S2C,1 (min),0,,i32,4,"contains loop/collection - variable-length, verify source"
4098,th_1,ActorDespawnMessage,S2C,1 (min),1,,i64,8,"contains loop/collection - variable-length, verify source"
4102,aEV,ActorAppearMessage,S2C,,0,,i8,1,"contains loop/collection - variable-length, verify source"
4102,aEV,ActorAppearMessage,S2C,,1,,i64,8,"contains loop/collection - variable-length, verify source"
4102,aEV,ActorAppearMessage,S2C,,2,,i32,4,"contains loop/collection - variable-length, verify source"
4102,aEV,ActorAppearMessage,S2C,,3,,i32,4,"contains loop/collection - variable-length, verify source"
4102,aEV,ActorAppearMessage,S2C,,4,,i16,2,"contains loop/collection - variable-length, verify source"
4102,aEV,ActorAppearMessage,S2C,,5,,i8,1,"contains loop/collection - variable-length, verify source"
4104,aya_0,ActorDisapearMessage,S2C,,0,,i16,2,"contains loop/collection - variable-length, verify source"
4104,aya_0,ActorDisapearMessage,S2C,,1,,i64,8,"contains loop/collection - variable-length, verify source"
4106,aqb_0,ActorRepositionMessage,S2C,,0,,i16,2,"contains loop/collection - variable-length, verify source"
4106,aqb_0,ActorRepositionMessage,S2C,,1,,i64,8,"contains loop/collection - variable-length, verify source"
4106,aqb_0,ActorRepositionMessage,S2C,,2,,i32,4,"contains loop/collection - variable-length, verify source"
4106,aqb_0,ActorRepositionMessage,S2C,,3,,i32,4,"contains loop/collection - variable-length, verify source"
4106,aqb_0,ActorRepositionMessage,S2C,,4,,i16,2,"contains loop/collection - variable-length, verify source"
4309,n,FightInvitationErrorMessage,S2C,,,(no fields / empty),,,
4311,aff_2,FightCreationCancelMessage,S2C,,,(no fields / empty),,,
4500,avf_0,ActorMovementMessage,S2C,8 (min),0,,i64,8,"contains loop/collection - variable-length, verify source"
4500,avf_0,ActorMovementMessage,S2C,8 (min),1,,i32,4,"contains loop/collection - variable-length, verify source"
4500,avf_0,ActorMovementMessage,S2C,8 (min),2,,i32,4,"contains loop/collection - variable-length, verify source"
4500,avf_0,ActorMovementMessage,S2C,8 (min),3,,i16,2,"contains loop/collection - variable-length, verify source"
4501,aLY,CoachActorMovementRequestMessage,C2S,n3,0,,i32,4,"contains loop/collection - variable-length, verify source"
4501,aLY,CoachActorMovementRequestMessage,C2S,n3,1,,i32,4,"contains loop/collection - variable-length, verify source"
4501,aLY,CoachActorMovementRequestMessage,C2S,n3,2,,i16,2,"contains loop/collection - variable-length, verify source"
4503,md_1,FighterActorMovementRequestMessage,C2S,8 + n3,0,,i64,8,"contains loop/collection - variable-length, verify source"
4503,md_1,FighterActorMovementRequestMessage,C2S,8 + n3,1,,i32,4,"contains loop/collection - variable-length, verify source"
4503,md_1,FighterActorMovementRequestMessage,C2S,8 + n3,2,,i32,4,"contains loop/collection - variable-length, verify source"
4503,md_1,FighterActorMovementRequestMessage,C2S,8 + n3,3,,i16,2,"contains loop/collection - variable-length, verify source"
4506,acg,FighterTackledMessage,S2C,24 (exact),0,apt,i32,4,header:o
4506,acg,FighterTackledMessage,S2C,24 (exact),1,apu,i32,4,header:o
4506,acg,FighterTackledMessage,S2C,24 (exact),2,,i64,8,
4506,acg,FighterTackledMessage,S2C,24 (exact),3,,i64,8,
4510,xp_0,ActorTeleportsMessage,S2C,18 (exact),0,,i64,8,
4510,xp_0,ActorTeleportsMessage,S2C,18 (exact),1,,i32,4,
4510,xp_0,ActorTeleportsMessage,S2C,18 (exact),2,,i32,4,
4510,xp_0,ActorTeleportsMessage,S2C,18 (exact),3,,i16,2,
4512,Gs,,C2S,n2,0,,i32,4,
4514,aII,,C2S,,,(no fields / empty),,,
4516,yu_1,,S2C,,,(no fields / empty),,,
4517,aae_2,,C2S,,,(no fields / empty),,,
4518,Ab,,C2S,,,(no fields / empty),,,
4519,aOx,,C2S,,,(no fields / empty),,,
4520,cd_2,FighterDiesMessage,S2C,16 (exact),0,apt,i32,4,header:o
4520,cd_2,FighterDiesMessage,S2C,16 (exact),1,apu,i32,4,header:o
4520,cd_2,FighterDiesMessage,S2C,16 (exact),2,,i64,8,
4521,lr_2,FighterActorDirectionChangeRequestMessage,C2S,9,0,,i64,8,
4521,lr_2,FighterActorDirectionChangeRequestMessage,C2S,9,1,,i8/bytes,0,
4522,u_0,FighterChangeDirectionMessage,S2C,,0,apt,i32,4,header:o
4522,u_0,FighterChangeDirectionMessage,S2C,,1,apu,i32,4,header:o
4522,u_0,FighterChangeDirectionMessage,S2C,,2,,i64,8,
4522,u_0,FighterChangeDirectionMessage,S2C,,3,,i8,1,
4523,anv_0,,C2S,,,(no fields / empty),,,
4524,yr_1,FighterMoveMessage,S2C,16 (min),0,apt,i32,4,header:o
4524,yr_1,FighterMoveMessage,S2C,16 (min),1,apu,i32,4,header:o
4524,yr_1,FighterMoveMessage,S2C,16 (min),2,,i64,8,"contains loop/collection - variable-length, verify source"
4524,yr_1,FighterMoveMessage,S2C,16 (min),3,,i32,4,"contains loop/collection - variable-length, verify source"
4524,yr_1,FighterMoveMessage,S2C,16 (min),4,,i32,4,"contains loop/collection - variable-length, verify source"
4524,yr_1,FighterMoveMessage,S2C,16 (min),5,,i16,2,"contains loop/collection - variable-length, verify source"
4600,aec_2,EnterInstanceMessage,S2C,,0,,f32,4,
4600,aec_2,EnterInstanceMessage,S2C,,1,,f32,4,
4600,aec_2,EnterInstanceMessage,S2C,,2,,i16,2,
4600,aec_2,EnterInstanceMessage,S2C,,3,,i16,2,
4600,aec_2,EnterInstanceMessage,S2C,,4,,i8,1,
4601,afV,,S2C,,0,,i16,2,"contains loop/collection - variable-length, verify source"
4601,afV,,S2C,,1,,i64,8,"contains loop/collection - variable-length, verify source"
4601,afV,,S2C,,2,,i16,2,"contains loop/collection - variable-length, verify source"
4601,afV,,S2C,,3,,i64,8,"contains loop/collection - variable-length, verify source"
4607,aik_0,,C2S,n2,0,,i64,8,
4607,aik_0,,C2S,n2,1,,i64,8,
4607,aik_0,,C2S,n2,2,,i16,2,
4607,aik_0,,C2S,n2,3,,i32,4,
4700,azt_0,,S2C,,0,,i64,8,
4700,azt_0,,S2C,,1,,i8,1,
4701,JY,,C2S,1 + byArray.length + 4,0,,i8/bytes,0,
4701,JY,,C2S,1 + byArray.length + 4,1,,i8/bytes,0,
4701,JY,,C2S,1 + byArray.length + 4,2,,i32,4,
4800,yd,,S2C,,0,,i32,4,"contains loop/collection - variable-length, verify source"
4800,yd,,S2C,,1,,i32,4,"contains loop/collection - variable-length, verify source"
4800,yd,,S2C,,2,,i64,8,"contains loop/collection - variable-length, verify source"
4900,xk_0,,S2C,,0,apt,i32,4,header:o
4900,xk_0,,S2C,,1,apu,i32,4,header:o
4900,xk_0,,S2C,,2,,i64,8,
4900,xk_0,,S2C,,3,,i64,8,
4900,xk_0,,S2C,,4,,i32,4,
4901,xy_2,,S2C,,0,apt,i32,4,header:o
4901,xy_2,,S2C,,1,apu,i32,4,header:o
4901,xy_2,,S2C,,2,,i64,8,
4902,aiz_0,,S2C,,0,apt,i32,4,header:o
4902,aiz_0,,S2C,,1,apu,i32,4,header:o
4902,aiz_0,,S2C,,2,,i64,8,
5000,CU,NoInstanceServerAvailableMessage,S2C,,,(no fields / empty),,,
5101,fw_1,ItemExchangeInvitationRequestMessage,C2S,8,0,,i64,8,
5102,uo_1,ItemExchangeInvitationMessage,S2C,,0,,i64,8,
5102,uo_1,ItemExchangeInvitationMessage,S2C,,1,,i64,8,
5102,uo_1,ItemExchangeInvitationMessage,S2C,,2,,u8,1,
5103,tw_0,ItemExchangeInvitationAnswerMessage,C2S,9,0,,i64,8,
5103,tw_0,ItemExchangeInvitationAnswerMessage,C2S,9,1,,i8/bytes,0,
5104,Ul,ItemExchangeInvitationConfirmationMessage,S2C,,0,,i8,1,
5104,Ul,ItemExchangeInvitationConfirmationMessage,S2C,,1,,i64,8,
5104,Ul,ItemExchangeInvitationConfirmationMessage,S2C,,2,,i64,8,
